Time,Airport,Altamount,Vashi,Virar
22,36.8,46.7,16.9,84.2
23,36.8,46.7,16.9,84.2
24,36.8,46.7,16.9,84.2
25,36.8,46.7,16.9,84.2
26,36.8,46.7,16.9,84.2
27,36.8,46.7,16.9,84.2
28,36.8,46.7,16.9,84.2
29,36.8,46.7,16.9,84.2
20,38.2,48.1,18.3,73.8
21,38.2,48.1,18.3,73.8
22,38.2,48.1,18.3,73.8
23,38.2,48.1,18.3,73.8
24,38.2,48.1,18.3,73.8
25,38.2,48.1,18.3,73.8
26,38.2,48.1,18.3,73.8
27,38.2,48.1,18.3,73.8
28,38.2,48.1,18.3,73.8
29,38.2,48.1,18.3,73.8
22,29.7,45.3,11.4,64
23,29.7,45.3,11.4,64
24,29.7,45.3,11.4,64
25,29.7,45.3,11.4,64
26,29.7,45.3,11.4,64
27,29.7,45.3,11.4,64
28,29.7,45.3,11.4,64
29,29.7,45.3,11.4,64
18,39,48.9,19.1,72.4
19,39,48.9,19.1,72.4
20,39,48.9,19.1,72.4
21,39,48.9,19.1,72.4
22,39,48.9,19.1,72.4
23,39,48.9,19.1,72.4
24,39,48.9,19.1,72.4
25,39,48.9,19.1,72.4
26,39,48.9,19.1,72.4
27,39,48.9,19.1,72.4
28,39,48.9,19.1,72.4
29,39,48.9,19.1,72.4
7,41.7,51.6,21.8,75.9
8,41.7,51.6,21.8,75.9
9,41.7,51.6,21.8,75.9
10,41.7,51.6,21.8,75.9
11,41.7,51.6,21.8,75.9
12,41.7,51.6,21.8,75.9
13,41.7,51.6,21.8,75.9
14,41.7,51.6,21.8,75.9
15,41.7,51.6,21.8,75.9
16,41.7,51.6,21.8,75.9
17,41.7,51.6,21.8,75.9
18,41.7,51.6,21.8,75.9
19,41.7,51.6,21.8,75.9
20,41.7,51.6,21.8,75.9
21,41.7,51.6,21.8,75.9
22,41.7,51.6,21.8,75.9
23,41.7,51.6,21.8,75.9
24,41.7,51.6,21.8,75.9
25,41.7,51.6,21.8,75.9
26,41.7,51.6,21.8,75.9
27,41.7,51.6,21.8,75.9
28,41.7,51.6,21.8,75.9
29,41.7,51.6,21.8,75.9
5,36.5,46.4,16.2,84
6,36.5,46.4,16.2,84
7,36.5,46.4,16.2,84
8,36.5,46.4,16.2,84
9,36.5,46.4,16.2,84
10,36.5,46.4,16.2,84
11,36.5,46.4,16.2,84
12,36.5,46.4,16.2,84
13,36.5,46.4,16.2,84
14,36.5,46.4,16.2,84
15,36.5,46.4,16.2,84
16,36.5,46.4,16.2,84
17,36.5,46.4,16.2,84
18,36.5,46.4,16.2,84
19,36.5,46.4,16.2,84
20,36.5,46.4,16.2,84
21,36.5,46.4,16.2,84
22,36.5,46.4,16.2,84
23,36.5,46.4,16.2,84
24,36.5,46.4,16.2,84
25,36.5,46.4,16.2,84
26,36.5,46.4,16.2,84
27,36.5,46.4,16.2,84
28,36.5,46.4,16.2,84
29,36.5,46.4,16.2,84
0,22.4,32.3,0,71.2
1,22.4,32.3,0,71.2
2,22.4,32.3,0,71.2
3,22.4,32.3,0,71.2
4,22.4,32.3,0,71.2
5,22.4,32.3,0,71.2
6,22.4,32.3,0,71.2
7,22.4,32.3,0,71.2
8,22.4,32.3,0,71.2
9,22.4,32.3,0,71.2
10,22.4,32.3,0,71.2
11,22.4,32.3,0,71.2
12,22.4,32.3,0,71.2
13,22.4,32.3,0,71.2
14,22.4,32.3,0,71.2
15,22.4,32.3,0,71.2
16,22.4,32.3,0,71.2
17,22.4,32.3,0,71.2
18,22.4,32.3,0,71.2
19,22.4,32.3,0,71.2
25,22.4,32.3,0,71.2
27,22.4,32.3,0,71.2
28,22.4,32.3,0,71.2
29,22.4,32.3,0,71.2
25,43.9,53.8,24,91.3
26,43.9,53.8,24,91.3
27,43.9,53.8,24,91.3
28,43.9,53.8,24,91.3
29,43.9,53.8,24,91.3
22,10.4,15.8,15.8,71.8
23,10.4,15.8,15.8,71.8
26,10.4,15.8,15.8,71.8
27,10.4,15.8,15.8,71.8
28,10.4,15.8,15.8,71.8
29,10.4,15.8,15.8,71.8
11,16,30.9,16.4,59
13,16,30.9,16.4,59
14,16,30.9,16.4,59
15,16,30.9,16.4,59
16,16,30.9,16.4,59
17,16,30.9,16.4,59
18,16,30.9,16.4,59
19,16,30.9,16.4,59
21,16,30.9,16.4,59
24,16,30.9,16.4,59
25,16,30.9,16.4,59
26,16,30.9,16.4,59
28,16,30.9,16.4,59
29,16,30.9,16.4,59
0,12.1,29.8,19.6,62.3
1,12.1,29.8,19.6,62.3
2,12.1,29.8,19.6,62.3
3,12.1,29.8,19.6,62.3
4,12.1,29.8,19.6,62.3
5,12.1,29.8,19.6,62.3
6,12.1,29.8,19.6,62.3
7,12.1,29.8,19.6,62.3
8,12.1,29.8,19.6,62.3
9,12.1,29.8,19.6,62.3
10,12.1,29.8,19.6,62.3
11,12.1,29.8,19.6,62.3
12,12.1,29.8,19.6,62.3
13,12.1,29.8,19.6,62.3
14,12.1,29.8,19.6,62.3
15,12.1,29.8,19.6,62.3
16,12.1,29.8,19.6,62.3
17,12.1,29.8,19.6,62.3
18,12.1,29.8,19.6,62.3
19,12.1,29.8,19.6,62.3
20,12.1,29.8,19.6,62.3
21,12.1,29.8,19.6,62.3
22,12.1,29.8,19.6,62.3
