Time,Airport,Altamount,Vashi,Virar,Malls
17,23.9,33.8,4.1,72.3,1
18,23.9,33.8,4.1,72.3,1
19,23.9,33.8,4.1,72.3,1
20,23.9,33.8,4.1,72.3,1
21,23.9,33.8,4.1,72.3,1
22,23.9,33.8,4.1,72.3,1
23,23.9,33.8,4.1,72.3,1
24,23.9,33.8,4.1,72.3,1
26,23.9,33.8,4.1,72.3,1
0,29.6,39.5,9.5,77.1,3
1,29.6,39.5,9.5,77.1,3
2,29.6,39.5,9.5,77.1,3
3,29.6,39.5,9.5,77.1,3
4,29.6,39.5,9.5,77.1,3
5,29.6,39.5,9.5,77.1,3
6,29.6,39.5,9.5,77.1,3
7,29.6,39.5,9.5,77.1,3
8,29.6,39.5,9.5,77.1,3
9,29.6,39.5,9.5,77.1,3
10,29.6,39.5,9.5,77.1,3
11,29.6,39.5,9.5,77.1,3
12,29.6,39.5,9.5,77.1,3
13,29.6,39.5,9.5,77.1,3
14,29.6,39.5,9.5,77.1,3
15,29.6,39.5,9.5,77.1,3
16,29.6,39.5,9.5,77.1,3
17,29.6,39.5,9.5,77.1,3
18,29.6,39.5,9.5,77.1,3
19,29.6,39.5,9.5,77.1,3
20,29.6,39.5,9.5,77.1,3
21,29.6,39.5,9.5,77.1,3
22,29.6,39.5,9.5,77.1,3
23,29.6,39.5,9.5,77.1,3
24,29.6,39.5,9.5,77.1,3
25,29.6,39.5,9.5,77.1,3
26,29.6,39.5,9.5,77.1,3
26,37.3,47.2,17,84.7,0
20,33.8,43.7,13.9,81.2,2
21,33.8,43.7,13.9,81.2,2
23,33.8,43.7,13.9,81.2,2
25,33.8,43.7,13.9,81.2,2
26,33.8,43.7,13.9,81.2,2
26,36.7,46.6,16.8,84.1,0
20,33.4,43.3,13.5,80.8,1
21,33.4,43.3,13.5,80.8,1
22,33.4,43.3,13.5,80.8,1
24,33.4,43.3,13.5,80.8,1
25,33.4,43.3,13.5,80.8,1
26,33.4,43.3,13.5,80.8,1
23,37.9,47.8,17.6,85.3,0
24,37.9,47.8,17.6,85.3,0
25,37.9,47.8,17.6,85.3,0
26,18.7,33.6,10,61.9,0
20,38.1,48,17.8,85.5,0
23,38.1,48,17.8,85.5,0
24,38.1,48,17.8,85.5,0
25,38.1,48,17.8,85.5,0
26,38.1,48,17.8,85.5,0
25,37.3,47.2,17.4,84.7,1
26,37.3,47.2,17.4,84.7,1
20,34.7,44.6,15,77.8,0
21,34.7,44.6,15,77.8,0
22,34.7,44.6,15,77.8,0
23,34.7,44.6,15,77.8,0
24,34.7,44.6,15,77.8,0
25,34.7,44.6,15,77.8,0
26,34.7,44.6,15,77.8,0
26,35.3,45.2,15.4,77,0
25,38.5,48.3,18.2,85.9,0
26,38.5,48.3,18.2,85.9,0
21,37.7,47.6,17.8,85.1,0
23,37.7,47.6,17.8,85.1,0
24,37.7,47.6,17.8,85.1,0
25,37.7,47.6,17.8,85.1,0
26,37.7,47.6,17.8,85.1,0
24,36.9,46.7,16.6,84.3,0
25,36.9,46.7,16.6,84.3,0
26,36.9,46.7,16.6,84.3,0
24,19.1,33.9,11.8,62.2,0
26,19.1,33.9,11.8,62.2,0
25,26.6,36.5,6.1,76.1,0
26,26.6,36.5,6.1,76.1,0
24,35.9,45.8,16,83.3,0
25,35.9,45.8,16,83.3,0
26,35.9,45.8,16,83.3,0
23,38.9,48.8,19,86.3,0
