Bias,Time,Airport,Altamount,Vashi,Virar,Malls
1,27,4.7,23.5,27.4,59.3,2
1,28,4.7,23.5,27.4,59.3,2
1,29,4.7,23.5,27.4,59.3,2
1,27,5.4,18,17.3,63.5,2
1,28,5.4,18,17.3,63.5,2
1,29,5.4,18,17.3,63.5,2
1,27,4.2,15.4,22.3,62.9,1
1,28,4.2,15.4,22.3,62.9,1
1,29,4.2,15.4,22.3,62.9,1
1,27,4.2,15.4,22.3,62.9,1
1,28,4.2,15.4,22.3,62.9,1
1,29,4.2,15.4,22.3,62.9,1
1,27,8.7,9.5,21.3,66.9,1
1,28,8.7,9.5,21.3,66.9,1
1,29,8.7,9.5,21.3,66.9,1
1,27,6.2,15.1,27.3,69.2,0
1,28,6.2,15.1,27.3,69.2,0
1,29,6.2,15.1,27.3,69.2,0
1,27,3.7,17.8,18.8,61.8,2
1,28,3.7,17.8,18.8,61.8,2
1,29,3.7,17.8,18.8,61.8,2
1,27,2.7,16.5,22.8,60.9,2
1,28,2.7,16.5,22.8,60.9,2
1,29,2.7,16.5,22.8,60.9,2
1,27,2.9,17.2,19.4,61.1,1
1,28,2.9,17.2,19.4,61.1,1
1,29,2.9,17.2,19.4,61.1,1
1,27,9.4,19.3,22.7,58.5,1
1,28,9.4,19.3,22.7,58.5,1
1,29,9.4,19.3,22.7,58.5,1
1,27,4,22.8,26.3,58.1,1
1,28,4,22.8,26.3,58.1,1
1,29,4,22.8,26.3,58.1,1
1,27,41.3,56.2,28.6,69.5,0
1,28,41.3,56.2,28.6,69.5,0
1,29,41.3,56.2,28.6,69.5,0
1,27,44.5,62.7,28.8,81.3,3
1,28,44.5,62.7,28.8,81.3,3
1,29,44.5,62.7,28.8,81.3,3
1,27,47.6,62.5,32.3,75.9,4
1,28,47.6,62.5,32.3,75.9,4
1,29,47.6,62.5,32.3,75.9,4
1,27,70.3,85.2,67,73.1,0
1,28,70.3,85.2,67,73.1,0
1,29,70.3,85.2,67,73.1,0
1,27,52.7,67.7,33.8,86.4,0
1,28,52.7,67.7,33.8,86.4,0
1,29,52.7,67.7,33.8,86.4,0
1,27,52.7,67.7,33.8,86.4,1
1,28,52.7,67.7,33.8,86.4,1
1,29,52.7,67.7,33.8,86.4,1
1,27,52.7,67.7,33.8,86.4,0
1,28,52.7,67.7,33.8,86.4,0
1,29,52.7,67.7,33.8,86.4,0
1,28,51.8,67.4,33.5,86.1,0
1,29,51.8,67.4,33.5,86.1,0
1,28,34.9,49.8,28.6,46.4,4
1,29,34.9,49.8,28.6,46.4,4
1,27,39.1,54.7,20.8,73.4,4
1,28,39.1,54.7,20.8,73.4,4
1,29,39.1,54.7,20.8,73.4,4
1,27,34.5,58.2,24.3,76.9,3
1,28,34.5,58.2,24.3,76.9,3
1,29,34.5,58.2,24.3,76.9,3
1,28,41.9,56.8,28.1,70.2,0
1,29,41.9,56.8,28.1,70.2,0
1,27,25.7,40.6,18.2,54,0
1,28,25.7,40.6,18.2,54,0
1,29,25.7,40.6,18.2,54,0
1,28,39.1,59,25.4,73.2,1
1,29,39.1,59,25.4,73.2,1
1,27,40.4,55.3,27,68.7,3
1,28,40.4,55.3,27,68.7,3
1,29,40.4,55.3,27,68.7,3
1,27,70.7,80.6,50.8,118,0
1,28,70.7,80.6,50.8,118,0
1,29,70.7,80.6,50.8,118,0
1,27,51.4,67,34,86.5,5
1,29,51.4,67,34,86.5,5
1,27,42.1,57,28,70.3,0
1,28,42.1,57,28,70.3,0
1,29,42.1,57,28,70.3,0
1,27,24.1,39,17.6,52.4,0
1,28,24.1,39,17.6,52.4,0
1,29,24.1,39,17.6,52.4,0
1,27,78,87.9,58.1,125,2
1,29,78,87.9,58.1,125,2
1,27,61.3,68.6,38.4,69,1
1,28,61.3,68.6,38.4,69,1
1,29,61.3,68.6,38.4,69,1
1,27,53.5,69.1,35.2,87.8,6
1,28,53.5,69.1,35.2,87.8,6
1,29,53.5,69.1,35.2,87.8,6
1,27,71.3,91.5,61.7,106,0
1,28,71.3,91.5,61.7,106,0
1,29,71.3,91.5,61.7,106,0
1,27,35,50.7,16.7,69.3,0
1,28,35,50.7,16.7,69.3,0
1,29,35,50.7,16.7,69.3,0
1,27,269,69.2,35.1,87.7,0
1,28,269,69.2,35.1,87.7,0
1,29,269,69.2,35.1,87.7,0
1,27,54.7,70.4,36.5,89,0
1,28,54.7,70.4,36.5,89,0
1,29,54.7,70.4,36.5,89,0
1,27,39.9,55.5,21.6,74.2,0
1,29,39.9,55.5,21.6,74.2,0
1,27,34.9,57.4,23.5,74.1,0
1,28,34.9,57.4,23.5,74.1,0
1,29,34.9,57.4,23.5,74.1,0
1,27,51.3,79.2,47.6,67.1,3
1,28,51.3,79.2,47.6,67.1,3
1,29,51.3,79.2,47.6,67.1,3
1,27,42.1,60.9,30.4,74.2,2
1,28,42.1,60.9,30.4,74.2,2
1,29,42.1,60.9,30.4,74.2,2
1,27,63.3,78.7,44.8,97.4,0
1,28,63.3,78.7,44.8,97.4,0
1,29,63.3,78.7,44.8,97.4,0
1,27,33.8,44.6,60.6,43.6,0
1,28,33.8,44.6,60.6,43.6,0
1,29,33.8,44.6,60.6,43.6,0
1,27,24,38.9,18.3,52.3,0
1,28,24,38.9,18.3,52.3,0
1,29,24,38.9,18.3,52.3,0
1,27,36.5,41.6,27.1,46.3,1
1,28,36.5,41.6,27.1,46.3,1
1,29,36.5,41.6,27.1,46.3,1
1,27,20.8,35.6,16.9,52,2
1,28,20.8,35.6,16.9,52,2
1,29,20.8,35.6,16.9,52,2
1,27,22.2,37.1,22.5,51.2,0
1,28,22.2,37.1,22.5,51.2,0
